Region,"local authority: 
district / unitary",Employed Individuals,Remote Workers,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach","Motorcycle, scooter or moped",Car / Van,Car / Van passengers,Taxi,Bicycle,On foot,Other method of travel,Year
North East,County Durham,227894,20652,323,1865,13732,1038,146644,17362,1401,2205,21490,1182,2011
North East,Darlington,49014,4180,33,828,3380,191,28981,3337,403,1151,6284,246,2011
North East,Gateshead,91877,6383,4270,705,13909,364,50236,5830,453,1314,7966,447,2011
North East,Hartlepool,37767,2473,33,469,2556,175,22863,3157,673,706,4305,357,2011
North East,Middlesbrough,54547,3337,44,698,4868,195,31155,4639,902,1375,6769,565,2011
North East,Newcastle upon Tyne,119335,8430,6304,1381,21728,345,54165,6706,1037,3223,15302,714,2011
North East,North Tyneside,96026,6997,8523,1385,8606,471,52543,5951,748,2345,7559,898,2011
North East,Northumberland,146901,17894,659,1852,7593,682,90566,9283,523,2074,14632,1143,2011
North East,Redcar and Cleveland,56354,4034,43,1175,3314,255,36281,3976,388,875,5335,678,2011
North East,South Tyneside,64622,3875,5681,1090,6194,341,35011,3774,303,1396,5749,1208,2011
North East,Stockton-on-Tees,87122,6376,97,1115,5023,410,57793,6014,593,1693,7101,907,2011
North East,Sunderland,121511,7705,2762,894,15151,520,70607,9356,740,1588,11310,878,2011
North West,Allerdale,46076,6025,22,374,1730,228,27790,3415,106,694,5496,196,2011
North West,Barrow-in-Furness,31257,2009,33,515,1593,542,16727,2277,426,1620,5302,213,2011
North West,Blackburn with Darwen,60523,4930,42,956,3240,315,36700,4916,1097,592,7460,275,2011
North West,Blackpool,61419,6173,40,512,5174,551,32816,4578,565,1916,8705,389,2011
North West,Bolton,123367,10086,274,4384,8200,792,76681,8189,1537,1261,11435,528,2011
North West,Burnley,38133,2941,20,238,3170,212,23316,2991,316,397,4375,157,2011
North West,Bury,88036,7689,4234,523,5671,455,55361,4819,690,1176,7094,324,2011
North West,Carlisle,53874,5464,30,304,3691,294,30673,3377,174,1390,8245,232,2011
North West,Cheshire East,181136,23337,254,4971,3267,1169,116931,8993,504,4666,16282,762,2011
North West,Cheshire West and Chester,160138,17178,257,3114,5477,1001,103898,8767,783,4200,14669,794,2011
North West,Chorley,53702,5827,34,1261,1575,375,36378,2941,135,761,4227,188,2011
North West,Copeland,32891,2782,18,519,1532,272,20877,3086,152,554,2958,141,2011
North West,Eden,27461,5771,20,206,578,86,15360,1311,67,326,3601,135,2011
North West,Fylde,34510,4055,32,416,1339,235,22153,1690,139,959,3325,167,2011
North West,Halton,57577,3696,38,1081,3787,351,37640,3988,321,1191,5221,263,2011
North West,Hyndburn,35993,2860,9,325,2247,239,23076,2576,360,398,3751,152,2011
North West,Knowsley,61691,3531,162,3448,6806,275,34717,4682,1195,962,5569,344,2011
North West,Lancaster,62832,6644,53,1252,3707,533,34942,3810,341,2497,8706,347,2011
North West,Liverpool,196630,12180,1081,9707,38027,780,91570,11587,2574,3970,23991,1163,2011
North West,Manchester,213705,15288,2841,5663,46652,841,91871,9828,1810,8426,29347,1138,2011
North West,Oldham,96300,7349,121,1115,10269,489,57766,7097,971,993,9622,508,2011
North West,Pendle,39324,3370,19,287,2092,185,24451,2868,353,498,5019,182,2011
North West,Preston,64180,5038,44,865,7148,418,35956,4324,345,1449,8299,294,2011
North West,Ribble Valley,28713,4070,26,304,593,160,19098,1303,47,380,2635,97,2011
North West,Rochdale,90753,7076,181,1804,7904,465,55947,6383,1493,910,8172,418,2011
North West,Rossendale,32808,3292,25,164,1872,218,22313,1938,130,236,2478,142,2011
North West,Salford,106904,7987,2205,1953,11786,612,57767,6601,1154,2491,13850,498,2011
North West,Sefton,121919,10137,512,8871,8404,599,69071,7262,1530,3176,11561,796,2011
North West,South Lakeland,51672,9125,34,696,933,268,28423,2558,171,1361,7843,260,2011
North West,South Ribble,55761,4691,32,797,2697,467,38169,3165,143,1587,3838,175,2011
North West,St. Helens,78580,5347,33,2355,4862,491,51899,5352,621,1092,6231,297,2011
North West,Stockport,137130,13362,220,6781,10988,754,84858,5839,412,2756,10637,523,2011
North West,Tameside,101892,7651,173,3470,11143,675,61044,5893,543,1401,9519,380,2011
North West,Trafford,110912,11166,5490,1511,7479,495,66954,5030,560,3393,8338,496,2011
North West,Warrington,100856,9336,142,2068,4946,677,67670,5650,368,2577,7038,384,2011
North West,West Lancashire,51694,5648,94,1678,1451,276,33181,3102,571,857,4568,268,2011
North West,Wigan,149908,10864,78,3274,8516,1137,99323,9757,755,2354,13301,549,2011
North West,Wirral,139929,11602,1355,8249,9929,1273,83682,8351,907,2275,11193,1113,2011
North West,Wyre,48558,5406,45,548,1994,404,31480,2916,229,1340,3820,376,2011
Yorkshire and The Humber,Barnsley,103579,7945,115,2037,6467,823,67465,7487,455,712,9700,373,2011
Yorkshire and The Humber,Bradford,218937,19312,261,10909,19595,1027,124104,15300,2502,1681,23175,1071,2011
Yorkshire and The Humber,Calderdale,96645,9506,80,3139,8075,605,57705,6044,498,877,9763,353,2011
Yorkshire and The Humber,Craven,27600,4595,25,926,591,120,15703,1299,55,331,3799,156,2011
Yorkshire and The Humber,Doncaster,133815,11055,114,2827,9961,816,82346,9972,774,3227,12214,509,2011
Yorkshire and The Humber,East Riding of Yorkshire,158757,18942,103,2206,4428,1182,101115,8579,472,5819,14774,1137,2011
Yorkshire and The Humber,Hambleton,45255,7270,37,550,676,193,27312,2079,80,1196,5612,250,2011
Yorkshire and The Humber,Harrogate,81402,12145,118,1903,3053,436,47030,3936,204,1723,10465,389,2011
Yorkshire and The Humber,"Kingston upon Hull, City of",110903,5676,51,642,14317,1313,56712,8631,1111,8944,12705,801,2011
Yorkshire and The Humber,Kirklees,192397,17716,151,5281,14890,1256,118836,12264,1672,1791,17802,738,2011
Yorkshire and The Humber,Leeds,355225,29647,454,11440,49589,1740,190643,21056,3047,6237,40140,1232,2011
Yorkshire and The Humber,North East Lincolnshire,70776,4574,51,312,4251,645,43237,4972,523,3817,7841,553,2011
Yorkshire and The Humber,North Lincolnshire,78101,6841,33,348,1858,779,52473,5166,193,2959,7041,410,2011
Yorkshire and The Humber,Richmondshire,27795,4910,29,400,522,128,15097,1364,90,447,4215,593,2011
Yorkshire and The Humber,Rotherham,114871,8748,450,1232,9759,674,75360,8132,619,987,8542,368,2011
Yorkshire and The Humber,Ryedale,25504,5114,24,254,407,171,14442,1296,40,764,2834,158,2011
Yorkshire and The Humber,Scarborough,48359,6450,35,549,2090,367,24373,3098,222,1079,9706,390,2011
Yorkshire and The Humber,Selby,43286,5133,28,1104,1318,305,28833,2267,62,1032,3060,144,2011
Yorkshire and The Humber,Sheffield,244318,18553,8186,3956,34061,1348,128899,13464,1147,4267,29288,1149,2011
Yorkshire and The Humber,Wakefield,151828,11373,116,3964,10513,967,95373,11418,1356,1869,14373,506,2011
Yorkshire and The Humber,York,98721,9297,96,2406,7039,947,45123,4463,377,11106,17457,410,2011
East Midlands,Amber Valley,59381,5697,67,664,2375,577,40210,3346,163,796,5297,189,2011
East Midlands,Ashfield,55336,4177,1144,588,2907,485,35904,3500,213,1109,5056,253,2011
East Midlands,Bassetlaw,52814,5525,35,583,1228,374,34984,3546,145,1320,4873,201,2011
East Midlands,Blaby,48276,4795,30,357,2468,354,33359,2465,102,1306,2894,146,2011
East Midlands,Bolsover,34511,2855,59,247,1614,287,23758,2397,111,272,2780,131,2011
East Midlands,Boston,30807,2831,12,92,632,239,18492,3471,119,1976,2783,160,2011
East Midlands,Broxtowe,53185,4688,369,755,4974,453,32280,2483,114,2220,4672,177,2011
East Midlands,Charnwood,79572,7925,84,1179,3892,588,50738,3910,122,2969,7930,235,2011
East Midlands,Chesterfield,47901,3755,39,684,3788,358,30089,3164,349,515,4996,164,2011
East Midlands,Corby,30688,1860,24,284,1834,179,19068,3380,397,857,2651,154,2011
East Midlands,Daventry,39536,5753,40,695,533,202,26698,1873,73,532,3015,122,2011
East Midlands,Derby,112422,7829,83,1196,9978,970,65944,7128,893,4158,13755,488,2011
East Midlands,Derbyshire Dales,35005,6390,42,418,772,204,21520,1620,48,357,3454,180,2011
East Midlands,East Lindsey,56311,8626,64,134,1032,390,33997,2662,181,2019,6846,360,2011
East Midlands,East Northamptonshire,43417,5196,38,674,600,303,30016,2242,98,548,3575,127,2011
East Midlands,Erewash,54851,4621,55,768,3791,628,35070,2847,143,1866,4896,166,2011
East Midlands,Gedling,55598,5150,193,362,7516,425,33686,2724,178,1043,4107,214,2011
East Midlands,Harborough,44079,6408,56,814,870,252,29182,1791,57,886,3595,168,2011
East Midlands,High Peak,45618,5494,57,2590,1200,276,27146,2113,151,612,5774,205,2011
East Midlands,Hinckley and Bosworth,53774,5814,35,402,1578,416,37230,2788,100,1212,4022,177,2011
East Midlands,Kettering,46918,4541,30,803,1267,283,31112,2910,92,846,4885,149,2011
East Midlands,Leicester,137494,9392,227,1550,18203,676,67886,10824,714,4980,22303,739,2011
East Midlands,Lincoln,44599,3088,38,341,2402,484,23405,3302,259,2640,8441,199,2011
East Midlands,Mansfield,48361,3613,59,394,2821,351,32005,3711,274,668,4284,181,2011
East Midlands,Melton,26184,3489,17,372,638,178,16576,1331,39,570,2878,96,2011
East Midlands,Newark and Sherwood,54555,6943,71,810,1380,376,34537,2944,79,2103,5099,213,2011
East Midlands,North East Derbyshire,46858,4680,306,459,2683,335,32339,2748,112,326,2709,161,2011
East Midlands,North Kesteven,52428,5933,50,638,1427,464,34910,2533,103,2008,4084,278,2011
East Midlands,North West Leicestershire,46291,4979,18,202,1039,420,32714,2423,104,759,3449,184,2011
East Midlands,Northampton,106792,8457,100,1739,7286,534,66252,7702,535,2732,11052,403,2011
East Midlands,Nottingham,123218,8856,2495,1315,24275,763,54020,6530,950,4257,19064,693,2011
East Midlands,Oadby and Wigston,26399,2187,43,273,2145,162,16953,1534,77,794,2142,89,2011
East Midlands,Rushcliffe,55346,7416,90,602,4690,254,34541,2244,82,1627,3624,176,2011
East Midlands,Rutland,18037,3011,29,303,196,101,10502,721,20,606,2478,70,2011
East Midlands,South Derbyshire,47886,5083,34,367,1313,478,34283,2447,163,754,2798,166,2011
East Midlands,South Holland,41490,4954,31,364,621,242,27726,2714,68,1711,2899,160,2011
East Midlands,South Kesteven,66532,7971,73,1223,1383,430,42163,3602,254,1878,7297,258,2011
East Midlands,South Northamptonshire,45740,6786,49,971,743,263,31638,2042,50,470,2592,136,2011
East Midlands,Wellingborough,36363,3324,34,719,849,195,24287,2684,297,527,3270,177,2011
East Midlands,West Lindsey,41968,5681,32,289,694,306,28141,2129,73,860,3518,245,2011
West Midlands,Birmingham,423691,32837,1327,19222,71361,1938,223632,22116,2791,6458,40042,1967,2011
West Midlands,Bromsgrove,46251,5759,38,1868,1067,237,31754,2013,113,471,2798,133,2011
West Midlands,Cannock Chase,47476,3753,20,801,1471,367,33305,3215,167,635,3611,131,2011
West Midlands,Coventry,137560,10043,130,2864,14912,843,77965,10766,708,3594,15042,693,2011
West Midlands,Dudley,141998,10956,195,4102,10188,1216,94090,8057,422,1723,10645,404,2011
West Midlands,East Staffordshire,54921,5555,34,594,1600,404,34628,3613,419,1738,6142,194,2011
West Midlands,"Herefordshire, County of",90237,15123,85,612,1491,601,52643,4601,250,3223,11062,546,2011
West Midlands,Lichfield,49016,6145,41,1683,1014,237,33212,2450,94,627,3333,180,2011
West Midlands,Malvern Hills,34361,6260,34,663,471,261,21865,1535,55,598,2473,146,2011
West Midlands,Newcastle-under-Lyme,57366,4982,38,465,2618,391,38686,4195,509,668,4646,168,2011
West Midlands,North Warwickshire,31258,3393,17,506,887,243,21842,1837,117,353,1963,100,2011
West Midlands,Nuneaton and Bedworth,60205,4381,32,751,2633,524,40555,4340,200,1268,5307,214,2011
West Midlands,Redditch,42922,3623,26,724,3017,226,28276,2817,194,665,3198,156,2011
West Midlands,Rugby,50485,5216,34,1219,1125,393,32570,3293,160,1505,4809,161,2011
West Midlands,Sandwell,128630,7840,1607,3573,17905,826,73872,8850,719,1996,10936,506,2011
West Midlands,Shropshire,150748,22808,157,1681,2888,893,92220,7598,541,4310,16951,701,2011
West Midlands,Solihull,97941,9989,165,5116,7836,484,62325,4516,321,1341,5516,332,2011
West Midlands,South Staffordshire,53328,5996,110,1259,1686,334,37970,2637,99,552,2507,178,2011
West Midlands,Stafford,64494,7722,39,1231,1758,445,41289,3255,208,1751,6571,225,2011
West Midlands,Staffordshire Moorlands,47591,5919,26,317,1128,253,32815,2631,30,456,3855,161,2011
West Midlands,Stoke-on-Trent,108109,6933,31,753,8467,872,67766,9190,1327,1574,10739,457,2011
West Midlands,Stratford-on-Avon,60765,10191,102,1031,1057,358,38528,2682,92,1260,5272,192,2011
West Midlands,Tamworth,38281,2789,14,798,1412,263,26053,2705,209,826,3074,138,2011
West Midlands,Telford and Wrekin,78372,6331,60,1047,3113,556,52405,6198,849,1644,5840,329,2011
West Midlands,Walsall,112270,8150,396,1530,11286,680,70793,7275,572,1747,9460,381,2011
West Midlands,Warwick,69608,8208,77,2205,2511,393,42674,3277,132,2171,7705,255,2011
West Midlands,Wolverhampton,104284,7229,1562,2819,11692,638,60420,6767,690,2170,9870,427,2011
West Midlands,Worcester,50101,4210,27,891,2235,386,29408,2831,169,2087,7643,214,2011
West Midlands,Wychavon,58268,8527,53,862,902,396,38727,2940,102,1051,4465,243,2011
West Midlands,Wyre Forest,46339,5143,28,1149,844,390,30702,2792,202,781,4121,187,2011
East of England,Babergh,42250,5776,77,1433,915,272,27049,1856,74,820,3783,195,2011
East of England,Basildon,83006,6482,556,13425,2757,578,45388,4515,684,1412,6878,331,2011
East of England,Bedford,75810,7921,97,3443,3140,416,45554,4361,319,2866,7360,333,2011
East of England,Braintree,74200,8511,196,6120,1619,446,45715,3540,229,1070,6468,286,2011
East of England,Breckland,61301,7477,47,474,1273,498,39923,3679,202,1574,5852,302,2011
East of England,Brentwood,36251,4094,653,8181,644,230,18041,1190,200,320,2550,148,2011
East of England,Broadland,61541,6724,62,572,3289,814,40878,2918,145,2390,3320,429,2011
East of England,Broxbourne,46222,3904,1145,5469,1340,384,27638,2053,460,593,3033,203,2011
East of England,Cambridge,59437,6417,130,2760,3800,490,17879,1628,188,17257,8653,235,2011
East of England,Castle Point,41443,3625,162,5624,1430,325,24984,1894,223,631,2352,193,2011
East of England,Central Bedfordshire,132061,14781,271,8165,2585,831,87245,5891,249,2058,9554,431,2011
East of England,Chelmsford,86451,8857,355,11101,3326,577,47511,3552,224,2486,8173,289,2011
East of England,Colchester,85587,8617,174,6424,4824,683,46907,4123,260,3310,9898,367,2011
East of England,Dacorum,73437,8844,511,6201,2200,487,43992,3264,266,788,6599,285,2011
East of England,East Cambridgeshire,43919,5702,50,2303,706,301,28943,2098,86,1220,2353,157,2011
East of England,East Hertfordshire,72225,8672,559,9383,1327,406,42056,2507,243,900,5937,235,2011
East of England,Epping Forest,61609,7060,11466,2629,1269,582,32030,1931,696,482,3201,263,2011
East of England,Fenland,44514,4683,43,627,893,312,28976,2913,160,2022,3696,189,2011
East of England,Forest Heath,31540,3079,25,237,565,230,21415,1810,109,1126,2824,120,2011
East of England,Great Yarmouth,41264,3817,31,248,2443,415,23861,2704,215,1689,4895,946,2011
East of England,Harlow,40401,2778,1181,1679,2122,282,23976,2720,408,1018,4084,153,2011
East of England,Hertsmere,49428,6104,2332,5809,2248,399,26471,1630,356,494,3387,198,2011
East of England,Huntingdonshire,88991,10153,113,3169,2191,568,57545,4400,252,3164,7149,287,2011
East of England,Ipswich,65479,4674,57,1538,4974,713,35092,4455,224,3009,10488,255,2011
East of England,King`s Lynn and West Norfolk,67268,7965,112,976,1483,480,43255,4004,148,3155,5356,334,2011
East of England,Luton,89201,6171,285,5126,6517,432,49150,7475,1029,1149,11261,606,2011
East of England,Maldon,30292,4092,64,2274,465,186,19136,1256,70,548,2072,129,2011
East of England,Mid Suffolk,48570,7274,58,1348,708,376,31906,2027,67,1322,3302,182,2011
East of England,North Hertfordshire,64990,7594,201,7546,1089,387,38039,2753,142,1216,5801,222,2011
East of England,North Norfolk,43183,6822,73,512,833,354,26496,2059,129,1208,4354,343,2011
East of England,Norwich,62424,4781,80,715,4959,693,27585,3200,288,5464,14307,352,2011
East of England,Peterborough,88044,7158,92,2080,6434,610,50718,7489,537,4990,7506,430,2011
East of England,Rochford,40662,4056,111,6282,1313,306,24053,1694,152,498,2059,138,2011
East of England,South Cambridgeshire,79139,10476,118,2742,3395,774,47888,3039,113,6026,4297,271,2011
East of England,South Norfolk,60333,7820,75,755,2630,635,40050,2743,133,1852,3299,341,2011
East of England,Southend-on-Sea,81339,7434,314,12445,4254,598,38900,3761,377,2260,10629,367,2011
East of England,St Albans,71378,9221,632,13052,1682,438,37230,2118,167,1185,5422,231,2011
East of England,St Edmundsbury,56483,6340,82,582,1385,395,35340,3205,269,1667,7002,216,2011
East of England,Stevenage,42738,3184,101,2919,2455,353,25980,2615,157,1038,3768,168,2011
East of England,Suffolk Coastal,58257,8232,116,1176,1372,634,36718,2428,131,2629,4566,255,2011
East of England,Tendring,54857,6231,104,2726,1250,416,33483,2915,284,1683,5483,282,2011
East of England,Three Rivers,43999,5416,4441,2559,960,321,25508,1582,161,532,2376,143,2011
East of England,Thurrock,77420,5186,1337,11715,2831,784,45376,4136,439,1078,4230,308,2011
East of England,Uttlesford,40772,6217,276,3378,573,232,24826,1426,112,433,3138,161,2011
East of England,Watford,47634,4048,2230,4897,2217,379,24369,1725,195,1066,6296,212,2011
East of England,Waveney,49181,4967,61,517,1293,555,30167,2611,237,2985,5030,758,2011
East of England,Welwyn Hatfield,52981,5452,658,5236,2187,385,29264,2442,258,1363,5561,175,2011
London,Barking and Dagenham,75217,4740,16011,9060,9215,615,27360,2086,334,1064,4420,312,2011
London,Barnet,170658,20968,43280,9630,19677,1777,58404,3460,676,2368,9551,867,2011
London,Bexley,110159,8560,2724,27039,9553,1424,49278,3287,839,1274,5712,469,2011
London,Brent,147461,12856,41392,10081,25922,1512,38202,2820,376,3699,9877,724,2011
London,Bromley,151368,15799,4816,45418,11115,1630,57095,3247,720,2190,8708,630,2011
London,Camden,108966,14366,35908,6783,15476,1157,9984,758,691,6721,16420,702,2011
London,City of London,4747,687,879,253,263,22,134,11,40,243,2174,41,2011
London,Croydon,172987,15619,10923,41346,24193,1471,59655,3903,544,2115,12296,922,2011
London,Ealing,164820,15002,43953,9710,22660,1647,51845,3125,362,4760,10974,782,2011
London,Enfield,137622,12362,20636,15909,17728,933,55090,3390,668,1905,8268,733,2011
London,Greenwich,117821,9610,17440,26997,18336,1221,30825,2204,513,2669,7110,896,2011
London,Hackney,118556,11963,22486,8336,30541,1220,12445,877,492,16389,13187,620,2011
London,Hammersmith and Fulham,99618,10416,37734,4269,13395,2060,11084,678,374,7103,11980,525,2011
London,Haringey,124296,12465,43784,8754,20959,1536,21550,1298,266,5911,7199,574,2011
London,Harrow,113900,11574,27877,7537,9950,581,45283,2713,354,869,6746,416,2011
London,Havering,112846,8705,10492,19934,8571,987,51452,3548,1086,998,6584,489,2011
London,Hillingdon,130290,11229,16915,5439,15283,1035,65349,3949,422,1892,8300,477,2011
London,Hounslow,127032,11139,19249,10139,20424,1388,48012,2982,307,4050,8783,559,2011
London,Islington,106765,10122,31009,5934,21595,1161,9145,690,769,9763,16059,518,2011
London,Kensington and Chelsea,81387,13510,28615,2448,9725,1598,9546,779,1555,3701,9148,762,2011
London,Kingston upon Thames,81957,8942,2814,18195,8347,1121,29312,1708,217,3278,7697,326,2011
London,Lambeth,166494,13862,49274,23064,31873,2279,19068,1118,384,12930,11898,744,2011
London,Lewisham,136057,11413,19391,37398,22372,1359,27910,1729,371,5164,8227,723,2011
London,Merton,104822,9455,24664,18898,10898,1333,26977,1644,253,3409,6845,446,2011
London,Newham,132454,8945,51117,15884,16779,753,25391,1991,310,2163,8554,567,2011
London,Redbridge,124692,11029,35515,11885,8951,739,44111,2813,981,1356,6722,590,2011
London,Richmond upon Thames,99204,13870,10108,20986,7339,1574,30298,1289,219,5849,7202,470,2011
London,Southwark,147388,12303,29077,18534,37956,1671,17057,1131,594,10450,17426,1189,2011
London,Sutton,97658,8738,5201,17391,8926,1399,43228,2726,468,2019,7184,378,2011
London,Tower Hamlets,120873,9046,45880,7225,14314,867,12593,990,645,7785,20672,856,2011
London,Waltham Forest,121021,9193,38962,12074,13024,1072,32437,2190,663,3306,7500,600,2011
London,Wandsworth,178582,16635,48906,34864,22859,3624,23913,1237,463,12804,12494,783,2011
London,Westminster,111179,15542,35632,4936,15789,1270,9626,810,1513,5092,19949,1020,2011
South East,Adur,29356,2991,27,2153,1612,356,17111,1502,89,1095,2285,135,2011
South East,Arun,67443,8436,86,2972,1622,585,41037,4095,214,2435,5620,341,2011
